,s_id,user_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,cluster
120,55,p344,57.4153,42.7911,61.32414857274546,30.837639214711512,0.8291097936944178,0.9122492285722856,1128.0,1106.0,1,0
121,56,p340,57.6628,43.6104,66.4228855428768,30.571710122861816,0.9874926835171997,0.9929782597548344,1094.0,1071.0,1,1
122,56,p343,59.4955,44.8041,66.93480568329585,32.327133836267855,0.63967174394372,1.0042370704814318,1103.0,1075.0,1,1
123,57,p260,56.1623,35.5627,52.04935810913525,43.77079690008721,1.092949221144331,1.3268399205344237,1119.0,1113.0,1,1
124,57,p344,57.4153,42.7911,61.32414857274546,30.837639214711512,0.8291097936944178,0.9122492285722856,1128.0,1106.0,1,2
125,58,p294,64.516,36.0992,55.89587713668857,49.422137182878856,0.6811496531600086,1.1090930222311421,864.0,822.0,1,1
126,58,p326,58.9668,44.8667,66.89958220023189,30.464400179646038,0.7627347900810608,1.151832528582132,873.0,847.0,1,0
127,58,p328,57.7143,44.2127,66.06622678865841,29.70830550151782,0.7979026319044198,1.0773797581383262,874.0,846.0,1,0
128,59,p217,45.1574,38.4151,41.795052149552845,16.846368807817473,1.2138868645800565,1.466327272365575,1059.0,1003.0,1,0
129,59,p218,44.7376,38.0247,41.99080371805845,17.536638835176255,1.2865719295865272,1.3216769102136523,1059.0,1005.0,1,1
130,60,p304,68.60600000000001,39.2625,53.316278398773974,47.19514826198244,1.7821700480032765,1.5162943386781202,1002.0,983.0,1,1
131,60,p305,63.4838,35.0243,54.5472562943431,47.805846278709275,0.9440102382919372,0.9556643895569974,1007.0,982.0,1,0
132,61,p343,59.4955,44.8041,66.93480568329585,32.327133836267855,0.63967174394372,1.0042370704814318,1103.0,1075.0,1,0
133,62,p217,45.1574,38.4151,41.795052149552845,16.846368807817473,1.2138868645800565,1.466327272365575,1059.0,1003.0,1,0
134,62,p218,44.7376,38.0247,41.99080371805845,17.536638835176255,1.2865719295865272,1.3216769102136523,1059.0,1005.0,1,1
135,63,p273,55.6667,36.5281,50.08369287147649,44.35481171760842,1.3925795955707525,1.3261851007498726,1202.0,1195.0,1,1
136,63,p464,57.8248,43.3894,72.04533765078071,34.62592712922764,0.7431585631613216,0.943165265967944,1224.0,1197.0,1,0
137,64,p467,66.6604,48.383,80.44386926590472,39.74647581753917,0.2428506742836017,1.1090966018594282,1254.0,1215.0,1,2
138,65,p349,50.2852,40.9671,57.09465150793886,25.314893745573716,0.9458310737124256,1.3515493005281531,1295.0,1273.0,1,1
139,65,p350,49.216,40.5503,57.235169770342424,24.7101846252811,0.8001877092282785,1.3128921979923425,1296.0,1273.0,1,2
140,66,p386,55.7301,36.8915,50.79509042815197,43.602912915956736,1.6516807258062922,1.6606410921440435,1297.0,1293.0,1,0
141,67,p388,54.95,30.6837,47.11288218525838,45.628366039983995,1.1466958663917823,1.420868228980986,1331.0,1313.0,1,2
142,68,p393,54.1188,30.8022,49.06347264857626,46.3637662797195,1.0089636861651663,1.2509472124443637,1369.0,1351.0,1,1
143,69,p394,54.3139,29.7042,47.96655296577878,46.301121624920455,1.3732851779583148,1.2847948185316942,1386.0,1366.0,1,1
144,70,p469,60.1541,46.4442,71.01642001814186,33.55437391823863,0.4822623456169888,1.3325358907925409,1385.0,1359.0,1,0
145,70,p470,59.5283,44.7119,71.36048859458919,32.95225421124793,0.5137385035210034,1.4250627501489588,1383.0,1359.0,1,2
146,71,p353,42.0348,34.4722,61.168722712458326,33.8227987127612,1.210699054265758,1.30722437500935,1384.0,1360.0,1,1
147,71,p354,48.8709,40.8909,57.40429728713417,25.247496665677158,0.8767030968349547,1.0637814768699214,1393.0,1369.0,1,0
148,71,p355,48.2353,40.88800000000001,56.8871037422353,24.805532028280354,0.9198512271014264,1.148052512673729,1392.0,1369.0,1,0
149,71,p394,54.3139,29.7042,47.96655296577878,46.301121624920455,1.3732851779583148,1.2847948185316942,1386.0,1366.0,1,2
150,72,p396,56.0698,36.5104,49.625236347528585,44.563193215908896,1.2047498329528832,1.1863306280446622,1401.0,1392.0,1,0
151,73,p437,66.3427,35.9467,54.35126682035742,48.357689734324104,0.8251408122254044,1.035212838065246,1416.0,1356.0,1,1
152,74,p439,67.0666,36.429,59.6877908709849,53.07137031517989,1.3136505509457224,1.4025837878451413,1443.0,1424.0,1,1
153,74,p471,64.9671,47.6243,64.11544026136757,30.01653851956389,1.1616451997060029,1.109072409844561,1433.0,1402.0,1,0
154,74,p472,64.9269,48.3125,62.56988556940835,31.49338584267548,1.2450640867039735,1.10866559711979,1431.0,1401.0,1,0
155,75,p399,49.0496,26.0474,48.58937120108957,45.439792522707684,1.3450301595131613,1.4510340588903117,1444.0,1424.0,1,2
156,75,p400,43.2791,24.1007,45.96379184050646,44.274002916886474,0.8595489805706247,1.2946836496307816,1446.0,1404.0,1,2
157,76,p473,57.9934,43.9421,66.69887275723778,30.230492796852538,0.8092586545721955,1.2305647631653844,1467.0,1442.0,1,1
158,77,p401,36.4552,17.2879,23.01546673041389,29.07470406780428,0.9018071911445372,1.2196254463311882,1479.0,1457.0,1,1
159,78,p402,54.6709,30.9852,48.344297648846315,46.596848937950384,2.0340374283675318,1.733188032691812,1482.0,1468.0,1,1
160,79,p361,49.0231,40.9819,57.58570167315451,26.01181734914473,1.0745990973381654,1.3402365182043008,1494.0,1476.0,1,1
161,79,p362,48.3695,40.2719,57.11347292257386,24.68831933728128,1.1278892897798083,1.3388268539290178,1495.0,1476.0,1,1
162,80,p445,69.2499,37.8133,57.88887435828144,52.05451772017386,1.077781072389008,1.3052307208717375,1538.0,1479.0,1,1
