,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,group_size,group_number,group_id
45,8,196.0,19.62225054662563,58.06127856524829,19.997177282875583,48.47035258392819,2.0,3.0,956,941,3,2,2,1
46,8,197.0,18.848662719003748,58.320135360117305,19.875789430673873,46.90613799529888,2.0,3.0,959,941,3,2,2,1
47,9,199.0,18.87557296405629,47.90226209471456,19.60012571916678,30.35214523273629,2.0,3.0,1034,1013,3,3,1,0
48,9,200.0,17.400191532487472,47.981825711447584,17.91168555731172,30.503256534035863,2.0,3.0,1034,1013,3,3,1,0
49,9,201.0,17.964206990881117,48.063328364313456,18.784758129365002,30.771943149975947,2.0,3.0,1034,1013,3,3,1,0
50,9,66.0,19.949888978183846,35.293364660009196,18.581951764716678,52.15777678666412,2.0,3.0,1034,1013,1,0,0,100
51,10,199.0,19.248575483274383,39.873215344443985,20.11833845337262,19.880932174525135,2.0,3.0,1047,1023,3,3,1,0
52,10,200.0,17.883346244843516,39.96851193605769,19.078382387905762,19.920843387301577,2.0,3.0,1047,1023,3,3,1,0
53,10,201.0,18.614416201450666,40.03021584710007,19.76780503272196,20.22477857518933,2.0,3.0,1047,1023,3,3,1,0
54,10,67.0,20.195935650994798,23.710675365973486,20.16150142923128,39.80980754650974,2.0,3.0,1047,1023,1,0,0,100
55,10,68.0,20.135293290679193,16.37842780420801,19.73842146412575,33.012048951037976,2.0,3.0,1047,1023,1,0,0,100
56,11,206.0,16.543459627001994,59.182171044744344,17.23513658973834,45.48099455482418,2.0,3.0,1109,1089,3,3,1,0
57,11,207.0,17.387913098094703,59.270669665926,18.030943910206894,45.307120338276825,2.0,3.0,1109,1089,3,3,1,0
58,11,208.0,18.04754734754979,59.9954318983591,18.858678450028556,45.6965888409157,2.0,3.0,1109,1089,3,3,1,0
59,11,69.0,18.147148014066445,41.8294488093808,15.740485287445377,58.26401979198934,2.0,3.0,1109,1089,1,0,0,100
60,12,206.0,17.658151072098104,37.28328111033297,18.668974943265198,9.773331370684808,2.0,3.0,1160,1121,3,3,2,0
61,12,207.0,18.37882782631329,37.19967306476557,19.469379892310187,9.857516745627294,2.0,3.0,1160,1121,3,3,2,0
62,12,208.0,19.238607792714756,37.57014318165367,20.11510872879272,10.35144688105138,2.0,3.0,1160,1121,3,3,2,0
63,12,70.0,19.98684838496038,16.785946499754395,19.322762072703114,49.028032216078785,2.0,3.0,1160,1121,1,0,0,100
64,12,71.0,20.10204205853726,8.358274169148743,18.336429398720707,31.468836487907037,2.0,3.0,1160,1128,3,2,2,1
65,12,72.0,19.21693326568173,7.694288653004751,17.53883399260671,30.805766457876967,2.0,3.0,1160,1128,3,2,2,1
66,13,83.0,18.24236980619194,14.15822663954926,16.090631603936348,47.63289379948556,2.0,3.0,1375,1324,3,3,1,0
67,13,84.0,19.861651053502754,12.964718198187356,17.288794714005054,47.67098377707603,2.0,3.0,1375,1324,3,3,1,0
68,13,85.0,20.119905738310713,13.868836590309613,17.908179421816737,47.95646904666757,2.0,3.0,1375,1324,3,3,1,0
69,13,86.0,17.58399604628782,12.668941373730142,16.769263310233974,59.328541950057485,2.0,3.0,1375,1325,1,0,0,100
70,14,220.0,16.87130239147244,57.00245188912399,17.547498461069075,45.22703127757091,2.0,3.0,1666,1642,3,6,2,0
71,14,221.0,15.98007153245834,57.1580021305077,16.72251669647218,45.722908736835876,2.0,3.0,1666,1642,3,6,2,0
72,14,222.0,15.048052591395127,57.361190339758664,15.383527254022866,45.573289279857406,2.0,3.0,1666,1642,3,6,2,0
73,14,223.0,14.81474621427559,56.614325915607736,14.928309979120092,44.39242179458175,2.0,3.0,1666,1642,3,6,2,0
74,14,224.0,14.845437669532867,55.49428554621751,16.531023178110512,44.158168770154624,2.0,3.0,1666,1642,3,6,2,0
75,14,225.0,15.531099845535643,57.79882399525416,16.134363738674054,45.54183911436108,2.0,3.0,1666,1642,3,6,2,0
76,14,226.0,16.60418760897511,61.0787226507541,19.354838234567303,46.918857135006256,2.0,3.0,1665,1644,3,2,2,1
77,14,227.0,17.452116920888557,60.93747879533232,19.69875335598864,47.41883553302255,2.0,3.0,1665,1644,3,2,2,1
78,15,91.0,18.66094552063331,45.20310447520391,16.939845247805092,61.331549691228524,2.0,3.0,1463,1443,1,0,0,100
79,15,92.0,17.97786395603018,25.315164754080378,16.202049017251987,43.4642429984666,2.0,3.0,1467,1443,3,2,2,0
80,15,93.0,19.000812975672478,25.56703679064973,17.103523554626737,43.492453911030495,2.0,3.0,1467,1443,3,2,2,0
81,15,95.0,19.95404079968988,21.622808582584764,18.194532318162715,39.10938138454102,2.0,3.0,1467,1443,3,2,2,1
82,15,96.0,19.142516862368627,19.981286217803145,17.31289498782268,37.92637072265884,2.0,3.0,1467,1443,3,2,2,1
83,15,214.0,16.90966787116554,55.210996593801724,19.727829557827985,34.318385662999276,2.0,3.0,1467,1443,1,0,0,100
84,16,216.0,15.981133384128173,60.406373677746586,18.141518376121404,52.230968331979625,2.0,3.0,1497,1482,3,2,2,0
85,16,217.0,16.400227218436214,60.409683647449356,18.484014463417505,52.35157273969316,2.0,3.0,1497,1482,3,2,2,0
86,16,218.0,16.43339861230408,60.045792769556115,18.387530073627907,53.63344886782735,2.0,3.0,1497,1485,1,0,0,100
87,16,95.0,17.613861737756658,49.75990414466627,16.141317819121134,60.51667071045201,2.0,3.0,1497,1482,3,2,2,1
88,16,96.0,16.644793688047397,48.69956174175127,15.336477109973808,59.550035332619785,2.0,3.0,1497,1482,3,2,2,1
