,s_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type
146,43,p206,45.06423437,32.65535716,55.279991729914386,19.592730996273318,1.084273858,1.2,939,922,1
147,43,v53,40.09679309,26.12821114,75.60804140052409,50.08676577955815,2.828141435,4,939,922,2
148,44,v55,38.14025906,24.46546182,78.44815339376993,51.61325218904497,3.6120067860000002,4,954,940,2
149,44,p209,40.76193206,29.3024517,37.95880896478042,14.501059100981818,1.428935216,1.2,954,940,1
150,44,p210,41.04291522,31.65890658,38.92476954533606,16.968125738844456,1.116300937,1.2,954,940,1
151,45,v55,62.87128241,39.24559963,106.97646694167572,65.83165168626537,3.629244082,4,970,954,2
152,45,p301,70.18222315,41.34012261,57.69084988510783,46.286713804638154,0.72500069,1.2,970,954,1
153,46,v84,70.09409287,47.54222657,36.6506117109429,24.41152047754671,0.634429085,4,984,969,2
154,46,p301,66.29870737,44.190409,64.34603876721138,58.3535670075606,0.750556957,1.2,984,969,1
155,46,v330,63.19137125,45.92941835,27.945439590841204,23.470498602467508,0.968635551,4,984,969,2
156,47,v57,44.77732635,28.99814906,83.68499924679415,56.556219423008315,3.804294746,4,996,982,2
157,47,p239,52.38945343,32.2107859,43.123494572528735,41.12948409296704,0.25547555899999996,1.2,996,982,1
158,47,p240,52.83370128,31.629124800000003,42.181149888670426,38.8662084887468,0.480541066,1.2,996,982,1
159,48,v84,60.81160348,40.85854782,18.148532774761954,22.147524792837277,2.0204177519999997,4,1019,1003,2
160,48,p215,51.50300289,36.93600426,58.57476924705553,22.827647438991605,1.414041712,1.2,1019,1003,1
161,48,p216,50.24413642,37.84349147,57.17820978119236,23.814313445586738,1.124526115,1.2,1019,1003,1
162,49,v87,51.61315863,36.57928241,14.54622299260464,17.221325784638168,0.0,4,1067,1050,2
163,49,p247,46.61284381,31.11005332,38.63420283449134,47.28480229767662,0.9788631879999999,1.2,1067,1050,1
